"Str1","Str2","Str3","freq"
"i","wonder","if",3
"i","would","be",3
"i","would","do",3
"i","would","get",3
"i","would","have",3
"i","would","say",3
"if","he","want",3
"if","i","cant",3
"if","i","could",3
"if","that","is",3
"if","there","is",3
"if","they","want",3
"if","you","haven’t",3
"if","you","know",3
"if","you","like",3
"illeg","immigr","and",3
"im","not","gonna",3
"im","not","sure",3
"in","a","church",3
"in","a","larg",3
"in","a","row",3
"in","a","way",3
"in","an","attempt",3
"in","and","the",3
"in","charg","of",3
"in","fact","i",3
"in","favor","of",3
"in","his","own",3
"in","hong","kong",3
"in","love","with",3
"in","my","home",3
"in","my","mind",3
"in","my","new",3
"in","north","america",3
"in","order","for",3
"in","our","live",3
"in","such","a",3
"in","the","best",3
"in","the","big",3
"in","the","black",3
"in","the","book",3
"in","the","class",3
"in","the","dark",3
"in","the","day",3
"in","the","even",3
"in","the","face",3
"in","the","film",3
"in","the","high",3
"in","the","kitchen",3
"in","the","loop",3
"in","the","mid",3
"in","the","minor",3
"in","the","moment",3
"in","the","movi",3
"in","the","night",3
"in","the","old",3
"in","the","pac",3
"in","the","room",3
"in","the","side",3
"in","the","slightest",3
"in","the","summer",3
"in","the","th",3
"in","their","live",3
"in","their","own",3
"in","this","countri",3
"in","this","world",3
"in","three","year",3
"in","two","year",3
"in","your","life",3
"interest","to","see",3
"involv","in","the",3
"is","a","huge",3
"is","a","littl",3
"is","abl","to",3
"is","also","a",3
"is","call","a",3
"is","go","on",3
"is","gonna","be",3
"is","hous","in",3
"is","in","a",3
"is","it","realli",3
"is","just","a",3
"is","my","favorit",3
"is","suppos","to",3
"is","that","i",3
"is","that","there",3
"is","the","best",3
"is","the","kind",3
"is","the","one",3
"is","the","same",3
"is","there","a",3
"is","threaten","by",3
"is","what","i",3
"is","will","to",3
"is","wrong","with",3
"it","a","veri",3
"it","all","up",3
"it","almost","like",3
"it","as","well",3
"it","back","to",3
"it","but","i",3
"it","did","not",3
"it","doe","not",3
"it","even","more",3
"it","from","the",3
"it","had","to",3
"it","i","will",3
"it","is","call",3
"it","is","go",3
"it","is","in",3
"it","is","one",3
"it","is","this",3
"it","is","too",3
"it","it","will",3
"it","part","of",3
"it","seem","that",3
"it","that","way",3
"it","time","to",3
"it","to","me",3
"it","was","all",3
"it","was","good",3
"it","was","not",3
"it","was","our",3
"it","was","realli",3
"it","was","still",3
"it","was","such",3
"it","was","too",3
"it","was","worth",3
"it","work","out",3
"it","would","also",3
"it","would","have",3
"ive","been","here",3
"ive","never","been",3
"job","in","the",3
"just","got","to",3
"just","had","to",3
"just","have","to",3
"just","saw","a",3
"just","the","right",3
"just","tri","to",3
"kick","out","of",3
"last","night","and",3
"late","last","month",3
"launch","a","new",3
"leav","a","comment",3
"leav","the","countri",3
"let","just","say",3
"let","us","know",3
"like","a","man",3
"like","i","have",3
"like","to","think",3
"line","for","the",3
"link","to","the",3
"list","on","the",3
"littl","girl","and",3
"live","in","a",3
"live","up","to",3
"look","a","littl",3
"look","at","it",3
"look","in","the",3
"look","like","an",3
"look","like","he",3
"lot","of","good",3
"love","that","will",3
"make","it","clear",3
"make","it","happen",3
"make","it","look",3
"make","it","to",3
"make","the","play",3
"make","you","feel",3
"make","you","think",3
"mani","of","us",3
"mani","of","you",3
"marketwatch","press","releas",3
"marri","to","a",3
"matter","what","the",3
"may","not","be",3
"me","and","i",3
"me","how","to",3
"me","i","love",3
"me","i","was",3
"me","know","what",3
"me","on","instagram",3
"me","so","i",3
"me","that","he",3
"meant","to","be",3
"monday","of","the",3
"more","or","less",3
"most","of","my",3
"most","of","them",3
"much","as","i",3
"much","as","possibl",3
"my","entir","life",3
"my","life","i",3
"my","new","favorit",3
"name","of","the",3
"need","to","learn",3
"need","to","make",3
"need","to","start",3
"needless","to","say",3
"new","york","and",3
"new","york","time",3
"nice","to","see",3
"no","idea","what",3
"no","need","to",3
"no","way","to",3
"none","of","the",3
"not","a","big",3
"not","a","fan",3
"not","be","a",3
"not","in","a",3
"not","my","favorit",3
"not","onli","were",3
"not","open","what",3
"noth","more","than",3
"now","and","then",3
"now","im","just",3
"obsess","with","the",3
"of","a","nation",3
"of","a","new",3
"of","all","time",3
"of","ani","other",3
"of","children","and",3
"of","cours","not",3
"of","from","the",3
"of","it","but",3
"of","one","of",3
"of","peopl","are",3
"of","social","media",3
"of","some","of",3
"of","the","book",3
"of","the","charact",3
"of","the","citi",3
"of","the","event",3
"of","the","famili",3
"of","the","four",3
"of","the","gospel",3
"of","the","high",3
"of","the","hous",3
"of","the","household",3
"of","the","land",3
"of","the","main",3
"of","the","month",3
"of","the","offic",3
"of","the","other",3
"of","the","peopl",3
"of","the","project",3
"of","the","s",3
"of","the","thing",3
"of","the","top",3
"of","the","town",3
"of","the","tree",3
"of","the","two",3
"of","the","us",3
"of","the","veri",3
"of","the","water",3
"of","the","women",3
"of","them","was",3
"of","this","post",3
"of","thousand","of",3
"of","what","we",3
"of","year","old",3
"old”","that","my",3
"on","a","day",3
"on","both","side",3
"on","how","the",3
"on","it","and",3
"on","my","face",3
"on","saturday","at",3
"on","the","benefit",3
"on","the","corner",3
"on","the","day",3
"on","the","first",3
"on","the","insid",3
"on","the","light",3
"on","the","map",3
"on","the","roof",3
"on","the","stage",3
"on","the","street",3
"on","the","th",3
"on","the","way",3
"one","of","her",3
"one","of","our",3
"onli","a","few",3
"onli","a","small",3
"open","to","the",3
"oper","in","the",3
"oppos","to","the",3
"or","until","the",3
"osama","bin","laden",3
"out","of","hand",3
"out","of","her",3
"out","of","town",3
"out","of","you",3
"out","the","first",3
"over","the","last",3
"over","the","top",3
"park","in","the",3
"peopl","have","been",3
"peopl","of","the",3
"percent","of","it",3
"percent","of","the",3
"photo","of","the",3
"pick","it","up",3
"pictur","of","the",3
"place","on","the",3
"play","of","the",3
"play","on","the",3
"play","with","a",3
"pleas","tell","me",3
"post","on","the",3
"prefer","to","be",3
"prepar","for","a",3
"probabl","one","of",3
"problem","is","that",3
"profit","share","check",3
"proud","to","be",3
"pull","out","a",3
"put","it","on",3
"qualifi","for","the",3
"ran","out","of",3
"ratifi","the","us",3
"reach","out","to",3
"readi","for","the",3
"realiz","that","i",3
"record","in","the",3
"reduc","the","amount",3
"remind","me","of",3
"right","next","to",3
"role","in","the",3
"run","it","was",3
"run","out","of",3
"said","he","had",3
"said","he","would",3
"said","i","was",3
"said","in","the",3
"said","to","me",3
"saturday","and","sunday",3
"saturday","at","the",3
"say","that","im",3
"school","board","to",3
"see","what","i",3
"see","you","at",3
"see","you","in",3
"seed","in","the",3
"seem","like","a",3
"seem","to","work",3
"serv","as","a",3
"set","in","the",3
"share","in","the",3
"she","and","her",3
"she","has","been",3
"she","is","not",3
"she","is","the",3
"she","said","but",3
"she","said","she",3
"she","was","on",3
"should","be","on",3
"show","that","the",3
"side","by","side",3
"sign","up","for",3
"small","number","of",3
"so","easi","to",3
"so","excit","to",3
"so","here","is",3
"so","i","dont",3
"so","i","have",3
"so","if","you",3
"so","it","can",3
"so","much","to",3
"social","media","can",3
"someth","to","do",3
"sometim","you","have",3
"sooner","than","later",3
"sound","like","a",3
"south","carolina","and",3
"spend","a","lot",3
"st","charl","counti",3
"st","loui","and",3
"stand","on","the",3
"start","a","new",3
"start","in","the",3
"start","to","get",3
"stay","tune","for",3
"still","in","the",3
"stop","work","out",3
"strength","of","the",3
"strong","enough","to",3
"such","as","a",3
"system","in","the",3
"take","a","look",3
"take","on","the",3
"take","place","in",3
"talk","about","it",3
"talk","about","the",3
"taught","me","how",3
"tell","me","i",3
"tell","you","the",3
"than","a","few",3
"than","a","year",3
"than","ever","befor",3
"thank","for","let",3
"thank","for","your",3
"thank","so","much",3
"thank","to","all",3
"thank","you","note",3
"that","a","good",3
"that","can","be",3
"that","could","have",3
"that","for","the",3
"that","have","been",3
"that","i","don’t",3
"that","i","had",3
"that","i","love",3
"that","i","want",3
"that","if","we",3
"that","im","not",3
"that","in","the",3
"that","make","me",3
"that","my","dude",3
"that","need","to",3
"that","percent","of",3
"that","she","is",3
"that","the","best",3
"that","to","be",3
"that","was","in",3
"that","we","have",3
"that","what","i",3
"that","you","do",3
"the","agenc","model",3
"the","airlin","industri",3
"the","answer","is",3
"the","auto","industri",3
"the","benefit","of",3
"the","best","i",3
"the","best","interest",3
"the","best","player",3
"the","black","rep",3
"the","care","of",3
"the","caus","of",3
"the","champion","leagu",3
"the","citi","council",3
"the","citi","will",3
"the","concept","of",3
"the","cost","of",3
"the","countri","at",3
"the","day","he",3
"the","day","i",3
"the","death","of",3
"the","district","of",3
"the","driver","of",3
"the","earli","s",3
"the","economi","is",3
"the","effect","of",3
"the","egg","yolk",3
"the","energi","of",3
"the","face","of",3
"the","fact","of",3
"the","fall","of",3
"the","final","four",3
"the","first","few",3
"the","first","five",3
"the","first","three",3
"the","form","of",3
"the","game","and",3
"the","good","of",3
"the","great","depress",3
"the","ground","and",3
"the","growth","of",3
"the","guy","and",3
"the","high","school",3
"the","hous","and",3
"the","indi","twin",3
"the","intern","communiti",3
"the","kingdom","of",3
"the","last","decad",3
"the","last","time",3
"the","law","of",3
"the","left","side",3
"the","link","below",3
"the","list","of",3
"the","los","angel",3
"the","love","of",3
"the","matter","is",3
"the","moment","and",3
"the","name","of",3
"the","nba","in",3
"the","new","rule",3
"the","next","year",3
"the","other","day",3
"the","other","hand",3
"the","other","night",3
"the","pleasur","of",3
"the","poor","and",3
"the","realm","of",3
"the","red","cross",3
"the","result","of",3
"the","sake","of",3
"the","same","period",3
"the","same","place",3
"the","same","thing",3
"the","same","way",3
"the","school","board",3
"the","second","quarter",3
"the","site","of",3
"the","so","call",3
"the","stori","is",3
"the","third","quarter",3
"the","thought","of",3
"the","time","but",3
"the","top","of",3
"the","topic","of",3
"the","truth","i",3
"the","truth","is",3
"the","truth","of",3
"the","unemploy","rate",3
"the","use","of",3
"the","veri","best",3
"the","way","it",3
"the","western","confer",3
"the","whole","thing",3
"the","world","at",3
"the","world","to",3
"the","year","when",3
"their","famili","and",3
"them","and","they",3
"them","to","the",3
"there","a","lot",3
"there","are","no",3
"there","are","three",3
"there","are","too",3
"there","are","two",3
"there","is","onli",3
"they","are","all",3
"they","are","be",3
"they","are","not",3
"they","are","the",3
"they","could","be",3
"they","do","not",3
"they","dont","know",3
"they","have","been",3
"they","have","to",3
"they","need","to",3
"they","want","the",3
"they","will","be",3
"thing","that","i",3
"think","it","a",3
"think","it","would",3
"this","is","just",3
"this","is","our",3
"this","was","the",3
"this","week","i",3
"this","week","the",3
"this","weekend","and",3
"this","world","the",3
"those","who","have",3
"three","of","the",3
"three","week","ago",3
"throw","the","ball",3
"tie","the","game",3
"time","in","the",3
"time","with","the",3
"to","a","boil",3
"to","a","man",3
"to","add","to",3
"to","all","of",3
"to","ask","him",3
"to","be","an",3
"to","be","found",3
"to","be","like",3
"to","be","part",3
"to","be","seen",3
"to","be","sure",3
"to","be","up",3
"to","becom","a",3
"to","call","it",3
"to","discuss","the",3
"to","do","i",3
"to","do","in",3
"to","do","more",3
"to","do","that",3
"to","face","the",3
"to","find","a",3
"to","find","their",3
"to","fit","in",3
"to","get","into",3
"to","get","readi",3
"to","get","that",3
"to","get","through",3
"to","get","up",3
"to","give","me",3
"to","go","and",3
"to","go","home",3
"to","have","it",3
"to","have","some",3
"to","help","us",3
"to","improv","their",3
"to","know","a",3
"to","learn","from",3
"to","make","ani",3
"to","make","more",3
"to","make","you",3
"to","meet","you",3
"to","miss","the",3
"to","one","of",3
"to","percent","of",3
"to","pick","up",3
"to","put","a",3
"to","read","the",3
"to","realiz","that",3
"to","reduc","the",3
"to","say","about",3
"to","say","this",3
"to","see","an",3
"to","see","how",3
"to","see","in",3
"to","see","my",3
"to","see","them",3
"to","see","this",3
"to","share","your",3
"to","show","up",3
"to","slow","down",3
"to","speak","to",3
"to","start","a",3
"to","stay","in",3
"to","support","a",3
"to","support","the",3
"to","take","on",3
"to","tell","you",3
"to","the","back",3
"to","the","bar",3
"to","the","citi",3
"to","the","dentist",3
"to","the","fact",3
"to","the","hospit",3
"to","the","origin",3
"to","the","poor",3
"to","the","unit",3
"to","the","us",3
"to","think","that",3
"to","this","day",3
"to","this","report",3
"to","turn","the",3
"to","watch","the",3
"to","worri","about",3
"to","write","a",3
"to","write","about",3
"to","you","the",3
"too","mani","peopl",3
"too","much","to",3
"track","and","field",3
"tri","to","figur",3
"turn","off","the",3
"turn","on","the",3
"two","run","in",3
"unavail","for","comment",3
"univers","of","california",3
"up","from","the",3
"up","with","a",3
"use","to","creat",3
"version","of","the",3
"wait","for","the",3
"wait","in","line",3
"wait","to","see",3
"wait","to","share",3
"want","to","give",3
"want","us","to",3
"was","a","bad",3
"was","a","good",3
"was","a","veri",3
"was","appoint","to",3
"was","at","a",3
"was","design","to",3
"was","forc","to",3
"was","in","the",3
"was","just","the",3
"was","more","than",3
"was","not","abl",3
"was","play","the",3
"was","that","i",3
"was","the","onli",3
"was","time","to",3
"was","use","as",3
"was","use","to",3
"way","to","go",3
"way","to","the",3
"way","too","much",3
"we","all","have",3
"we","are","final",3
"we","are","look",3
"we","are","not",3
"we","dont","have",3
"we","had","to",3
"we","have","done",3
"we","love","you",3
"we","were","in",3
"we","will","be",3
"we","will","not",3
"we","work","on",3
"we’v","just","got",3
"week","ago","and",3
"week","ago","i",3
"week","and","i",3
"well","as","the",3
"well","for","the",3
"went","back","to",3
"went","to","a",3
"were","abl","to",3
"were","call","to",3
"were","in","the",3
"what","do","you",3
"what","go","on",3
"what","i","am",3
"what","is","go",3
"what","is","the",3
"what","is","your",3
"what","it","was",3
"what","they","are",3
"what","was","go",3
"what","you","want",3
"when","he","was",3
"when","i","am",3
"when","i","first",3
"when","i","stop",3
"when","we","were",3
"when","you","get",3
"where","do","you",3
"whi","do","peopl",3
"which","he","use",3
"which","was","a",3
"while","he","was",3
"while","in","the",3
"who","are","not",3
"who","has","a",3
"who","have","a",3
"who","live","in",3
"who","said","he",3
"who","tri","to",3
"who","was","shot",3
"who","we","are",3
"wide","varieti","of",3
"will","alway","be",3
"will","be","more",3
"will","have","a",3
"will","need","to",3
"will","see","that",3
"will","take","place",3
"with","a","littl",3
"with","a","lot",3
"with","in","the",3
"with","their","own",3
"with","them","and",3
"woke","up","and",3
"work","as","a",3
"work","at","the",3
"work","for","the",3
"work","on","that",3
"would","be","difficult",3
"would","have","to",3
"would","not","have",3
"write","a","new",3
"year","in","the",3
"year","old”","that",3
"you","are","go",3
"you","but","i",3
"you","can","be",3
"you","can","help",3
"you","can","see",3
"you","do","that",3
"you","don’t","want",3
"you","dont","know",3
"you","feel","like",3
"you","for","your",3
"you","get","to",3
"you","have","been",3
"you","know","im",3
"you","know","who",3
"you","know","your",3
"you","last","night",3
"you","so","you",3
"you","the","truth",3
"your","go","to",3
"–","though","not",2
"—","i","dont",2
"‘n’","crush","affili",2
"<U+0001F602><U+263A><U+0001F601>s","also","year",2
"a","bad","idea",2
"a","bad","thing",2
"a","bag","of",2
"a","big","fan",2
"a","big","sister",2
"a","bit","more",2
"a","bit","too",2
"a","black","republican",2
"a","boost","to",2
"a","boy","who",2
"a","career","high",2
"a","co","worker",2
"a","collect","of",2
"a","comic","book",2
"a","complet","differ",2
"a","copi","of",2
"a","coupl","hundr",2
"a","court","rule",2
"a","cup","of",2
"a","date","with",2
"a","day","but",2
"a","day","off",2
"a","deep","breath",2
"a","democrat","nomine",2
"a","dental","offic",2
"a","desk","drawer",2
"a","differ","way",2
"a","dime","a",2
"a","divorc","becaus",2
"a","fall","in",2
"a","feder","fund",2
"a","few","hour",2
"a","few","hundr",2
"a","few","month",2
"a","first","team",2
"a","focus","on",2
"a","for","the",2
"a","four","year",2
"a","friend","of",2
"a","further","declin",2
"a","game","show",2
"a","gas","station",2
"a","girl","when",2
"a","good","game",2
"a","good","guy",2
"a","good","idea",2
"a","great","weekend",2
"a","groceri","store",2
"a","guy","who",2
"a","hard","time",2
"a","high","end",2
"a","high","school",2
"a","holiday","to",2
"a","husband","who",2
"a","in","the",2
"a","job","and",2
"a","joint","statement",2
"a","kind","of",2
"a","lack","of",2
"a","letter","from",2
"a","link","and",2
"a","littl","less",2
"a","littl","on",2
"a","littl","pain",2
"a","long","await",2
"a","long","histori",2
"a","long","stori",2
"a","long","way",2
"a","lot","about",2
"a","lot","this",2
"a","major","decis",2
"a","man","in",2
"a","master","in",2
"a","meet","greet",2
"a","miracl","and",2
"a","move","and",2
"a","new","book",2
"a","new","govern",2
"a","new","job",2
"a","new","one",2
"a","new","studi",2
"a","news","confer",2
"a","news","releas",2
"a","permit","for",2
"a","permit","from",2
"a","person","who",2
"a","pic","of",2
"a","place","in",2
"a","place","that",2
"a","point","to",2
"a","portion","of",2
"a","problem","in",2
"a","professor","of",2
"a","propos","to",2
"a","question","for",2
"a","quick","and",2
"a","rang","of",2
"a","relationship","and",2
"a","remind","of",2
"a","report","by",2
"a","republican","background",2
"a","ridicul","amount",2
"a","room","with",2
"a","run","of",2
"a","safe","place",2
"a","second","look",2
"a","second","round",2
"a","sew","machin",2
"a","short","time",2
"a","shot","at",2
"a","similar","set",2
"a","slice","of",2
"a","small","bowl",2
"a","small","fraction",2
"a","small","number",2
"a","small","saucepan",2
"a","space","odyssey",2
"a","span","of",2
"a","specif","time",2
"a","state","of",2
"a","state","where",2
"a","stay","at",2
"a","stori","about",2
"a","string","of",2
"a","subsidiari","of",2
"a","suburb","of",2
"a","tabl","with",2
"a","third","of",2
"a","threat","to",2
"a","total","of",2
"a","twin","brother",2
"a","two","minut",2
"a","univers","of",2
"a","veri","good",2
"a","veri","small",2
"a","veri","special",2
"a","way","better",2
"a","week","befor",2
"a","week","is",2
"a","week","or",2
"a","while","i",2
"a","while","we",2
"a","whole","and",2
"a","win","for",2
"a","wonder","thing",2
"a","yard","season",2
"a","year","after",2
"a","year","of",2
"a","young","age",2
"a","young","man",2
"abl","to","be",2
"abl","to","bring",2
"abl","to","get",2
"abl","to","inspir",2
"abl","to","make",2
"abl","to","see",2
"abl","to","stay",2
"abl","to","use",2
"about","a","month",2
"about","half","a",2
"about","how","they",2
"about","how","to",2
"about","it","it",2
"about","it","the",2
"about","it","this",2
"about","minut","or",2
"about","month","ago",2
"about","the","book",2
"about","the","new",2
"about","the","process",2
"about","what","happen",2
"about","what","they",2
"accept","submiss","soon",2
"accid","and","the",2
"accord","to","it",2
"accord","to","polic",2
"accord","with","the",2
"account","for","the",2
"across","the","ocean",2
"across","the","way",2
"act","in","the",2
"act","on","the",2
"actor","in","a",2
"actual","have","a",2
"actual","watch","the",2
"ad","to","the",2
"address","ani","of",2
"advantag","of","this",2
"after","a","few",2
"after","a","long",2
"after","a","while",2
"after","all","that",2
"after","have","contact",2
"after","i","got",2
"after","midnight","do",2
"after","sit","out",2
"after","the","crash",2
"after","the","governor",2
"after","the","last",2
"again","he","said",2
"again","if","the",2
"again","in","the",2
"again","this","year",2
"again","we","have",2
"again","when","i",2
"against","all","odd",2
"against","the","heat",2
"against","the","work",2
"age","and","up",2
"ago","and","said",2
"ago","i","receiv",2
"agreement","ratifi","the",2
"aid","by","a",2
"air","at","pm",2
"alarm","in","the",2
"all","around","the",2
"all","day","it",2
"all","four","of",2
"all","have","a",2
"all","i","have",2
"all","in","one",2
"all","in","the",2
"all","in","this",2
"all","it","is",2
"all","ive","ever",2
"all","know","it",2
"all","like","to",2
"all","of","his",2
"all","of","my",2
"all","of","our",2
"all","of","that",2
"all","of","their",2
"all","of","your",2
"all","over","again",2
"all","sort","of",2
"all","summer","long",2
"all","that","and",2
"all","that","matter",2
"all","the","citizen",2
"all","the","good",2
"all","the","lost",2
"all","the","mom",2
"all","the","money",2
"all","the","other",2
"all","the","talk",2
"all","the","thing",2
"all","these","year",2
"all","you","need",2
"alleg","that","she",2
"allow","peopl","to",2
"along","the","border",2
"along","with","a",2
"also","avail","for",2
"also","be","a",2
"also","found","out",2
"also","had","a",2
"also","happen","to",2
"also","one","of",2
"also","requir","the",2
"also","stop","use",2
"altern","to","the",2
"alway","believ","that",2
"alway","seem","to",2
"am","look","forward",2
"amazon","servic","llc",2
"among","other","thing",2
"among","the","most",2
"amount","of","friction",2
"amount","of","the",2
"amus","park","in",2
"an","all","star",2
"an","all","time",2
"an","exhibit","of",2
"an","express","of",2
"an","extra","tooth",2
"an","hour","befor",2
"an","hour","or",2
"an","hour","we",2
"an","incom","tax",2
"an","interest","in",2
"an","invit","to",2
"an","issu","that",2
"an","opportun","to",2
"and","a","better",2
"and","a","bit",2
"and","a","coupl",2
"and","a","fall",2
"and","a","great",2
"and","a","pair",2
"and","a","small",2
"and","a","ventur",2
"and","a","year",2
"and","about","a",2
"and","accord","to",2
"and","all","over",2
"and","around","his",2
"and","around","the",2
"and","ask","if",2
"and","ask","me",2
"and","at","least",2
"and","be","abl",2
"and","be","better",2
"and","becam","a",2
"and","better","wage",2
"and","busi","decis",2
"and","can","be",2
"and","carri","on",2
"and","ceo","of",2
"and","charg","with",2
"and","click","on",2
"and","cook","for",2
"and","could","be",2
"and","dare","i",2
"and","deal","with",2
"and","dealt","with",2
"and","didn’t","know",2
"and","discov","a",2
"and","dont","miss",2
"and","end","with",2
"and","enjoy","all",2
"and","even","the",2
"and","even","then",2
"and","excit","about",2
"and","expert","on",2
"and","explain","to",2
"and","explor","the",2
"and","find","a",2
"and","focus","on",2
"and","for","a",2
"and","for","the",2
"and","fourth","in",2
"and","gas","leak",2
"and","get","move",2
"and","get","peopl",2
"and","give","mg",2
"and","give","them",2
"and","give","us",2
"and","go","but",2
"and","go","to",2
"and","had","a",2
"and","had","an",2
"and","had","to",2
"and","has","a",2
"and","have","been",2
"and","have","the",2
"and","he","hope",2
"and","he","is",2
"and","his","friend",2
"and","his","mother",2
"and","how","can",2
"and","how","it",2
"and","how","we",2
"and","hundr","of",2
"and","i","believ",2
"and","i","came",2
"and","i","cant",2
"and","i","decid",2
"and","i","don’t",2
"and","i","hope",2
"and","i","love",2
"and","i","realli",2
"and","i","see",2
"and","i","thought",2
"and","i","went",2
"and","i","wouldnt",2
"and","idea","and",2
"and","if","i",2
"and","if","it",2
"and","if","they",2
"and","if","we",2
"and","im","go",2
"and","im","not",2
"and","in","a",2
"and","in","anoth",2
"and","in","front",2
"and","in","some",2
"and","is","on",2
"and","it","had",2
"and","it","just",2
"and","it","work",2
"and","keep","the",2
"and","let","me",2
"and","let","them",2
"and","made","me",2
"and","make","sure",2
"and","mix","well",2
"and","more","than",2
"and","never","get",2
"and","new","jersey",2
"and","no","one",2
"and","not","be",2
"and","not","just",2
"and","not","too",2
"and","now","they",2
"and","offici","at",2
"and","onc","i",2
"and","one","of",2
"and","over","again",2
"and","pray","for",2
"and","profession","and",2
"and","put","it",2
"and","put","them",2
"and","readi","for",2
"and","real","estat",2
"and","realiz","that",2
"and","resist","arrest",2
"and","run","with",2
"and","san","francisco",2
"and","say","i",2
"and","see","what",2
"and","send","him",2
"and","serv","as",2
"and","shape","of",2
"and","she","point",2
"and","snack","on",2
"and","so","i",2
"and","so","it",2
"and","speak","of",2
"and","style","the",2
"and","talk","about",2
"and","tap","the",2
"and","thank","you",2
"and","that","she",2
"and","the","actual",2
"and","the","babi",2
"and","the","creation",2
"and","the","game",2
"and","the","like",2
"and","the","nation",2
"and","the","new",2
"and","the","of",2
"and","the","one",2
"and","the","peopl",2
"and","the","poor",2
"and","the","priest",2
"and","the","proport",2
"and","the","remain",2
"and","the","scene",2
"and","the","second",2
"and","the","seventh",2
"and","the","st",2
"and","the","third",2
"and","the","univers",2
"and","the","zine",2
"and","they","didnt",2
"and","they","have",2
"and","they","want",2
"and","they","were",2
"and","this","was",2
"and","to","those",2
"and","track","and",2
"and","two","of",2
"and","up","to",2
"and","use","a",2
"and","wake","up",2
"and","want","to",2
"and","was","on",2
"and","was","paid",2
"and","was","place",2
"and","we","both",2
"and","we","dont",2
"and","we","had",2
"and","we","have",2
"and","well","be",2
"and","went","to",2
"and","what","a",2
"and","whatev","is",2
"and","when","the",2
"and","when","they",2
"and","when","you",2
"and","would","be",2
"and","would","like",2
"and","wound","up",2
"and","you","can",2
"and","you","don’t",2
"and","you","see",2
"anger","manag","cours",2
"ani","countri","in",2
"ani","number","of",2
"anniversari","of","the",2
"anoth","type","of",2
"appeal","to","me",2
"appear","of","the",2
"appear","on","the",2
"appli","in","a",2
"appli","to","the",2
"appoint","to","the",2
"approach","but","i",2
"are","accus","of",2
"are","also","avail",2
"are","and","i",2
"are","at","the",2
"are","begin","to",2
"are","come","to",2
"are","control","by",2
"are","expect","to",2
"are","in","charg",2
"are","just","a",2
"are","look","forward",2
"are","name","after",2
"are","not","like",2
"are","not","so",2
"are","of","the",2
"are","requir","to",2
"are","scare","of",2
"are","so","mani",2
"are","some","pictur",2
"are","still","in",2
"are","suppos","to",2
"are","the","same",2
"are","what","we",2
"are","will","to",2
"are","women","who",2
"are","worri","about",2
"are","you","do",2
"are","you","go",2
"aren’t","some","folk",2
"arent","you","awesome<U+E00E>",2
"ari","is","the",2
"around","for","a",2
"around","the","park",2
"around","the","tabl",2
"around","the","time",2
"around","to","see",2
"arrest","tuesday","and",2
"arriv","in","the",2
"arriv","of","a",2
"art","educ","is",2
"as","a","black",2
"as","a","democrat",2
"as","a","divers",2
"as","a","guid",2
"as","a","key",2
"as","a","member",2
"as","a","place",2
"as","a","sort",2
"as","a","way",2
"as","bad","as",2
"as","big","as",2
"as","earli","as",2
"as","hard","as",2
"as","he","was",2
"as","i","can",2
"as","i","look",2
"as","i","said",2
"as","i","thought",2
"as","if","you",2
"as","long","to",2
"as","mani","as",2
"as","much","of",2
"as","she","was",2
"as","the","nation",2
"as","the","new",2
"as","the","world",2
"as","there","are",2
"as","we","were",2
"as","well","i",2
"as","well","not",2
"as","well","they",2
"as","wide","as",2
"as","with","all",2
"ask","for","your",2
"ask","him","if",2
"ask","if","i",2
"ask","me","how",2
"ask","me","to",2
"ask","not","to",2
"ask","the","question",2
"ask","you","to",2
"aspect","of","the",2
"assert","that","the",2
"assist","director","of",2
"associ","professor","of",2
"assum","that","tatlin’",2
"at","a","confer",2
"at","a","tabl",2
"at","a","young",2
"at","all","it",2
"at","all","so",2
"at","ani","time",2
"at","citi","hall",2
"at","first","but",2
"at","first","i",2
"at","her","home",2
"at","home","and",2
"at","home","mother",2
"at","home","or",2
"at","it","most",2
"at","least","fifti",2
"at","least","four",2
"at","least","i",2
"at","least","million",2
"at","least","that",2
"at","least","the",2
"at","more","than",2
"at","night","i",2
"at","our","fashion",2
"at","pm","the",2
"at","pm","there",2
"at","pm","today",2
"at","school","and",2
"at","th","street",2
"at","that","point",2
"at","the","brooklyn",2
"at","the","center",2
"at","the","grand",2
"at","the","heart",2
"at","the","home",2
"at","the","last",2
"at","the","nation",2
"at","the","north",2
"at","the","poll",2
"at","the","posit",2
"at","the","thought",2
"at","the","top",2
"at","the","white",2
"at","this","is",2
"at","this","point",2
"at","trader","joe",2
"at","what","was",2
"attempt","at","a",2
"attempt","to","make",2
"attent","to","himself",2
"attorney","general","said",2
"august","vs","august",2
"avenu","which","led",2
"awar","of","this",2
"away","from","a",2
"away","from","home",2
"back","in","but",2
"back","in","st",2
"back","into","a",2
"back","of","his",2
"back","the","follow",2
"back","to","back",2
"back","to","me",2
"back","to","our",2
"back","to","sleep",2
"back","to","their",2
"background","in","isabella",2
"bacon","and","a",2
"bake","in","a",2
"ball","that","are",2
"be","a","big",2
"be","a","contest",2
"be","a","hard",2
"be","a","major",2
"be","at","the",2
"be","back","soon",2
"be","better","than",2
"be","care","who",2
"be","come","to",2
"be","conform","to",2
"be","develop","there",2
"be","disappoint","in",2
"be","enough","to",2
"be","found","in",2
"be","go","on",2
"be","good","for",2
"be","here","with",2
"be","laid","off",2
"be","left","to",2
